District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21
GA-03,-84.55985,33.32246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,8,10,12,15,18,34,46,50,61,78,80,128,165,190,205,244,337,370,406,462,513,564,639,710,755,794,852,890,927,1000,1164,1209,1265,1374,1430,1479,1567,1586,1615,1691,1725,1801,1825,1879,1925,1966,1995,2049,2089,2131,2156,2186,2220,2252,2271,2336,2374,2393,2419,2420,2439,2464,2475,2476,2480,2506,2534,2588,2632,2653,2691,2796,2868,2941,2975,3028,3048,3067,3099,3108,3207,3313,3403,3447,3458,3512,3591,3715,3854,4002,4071,4112,4168,4233,4352,4420,4541,4580,4642,4762,5021,5208,5277,5387,5507,5579,5591,5828,6040,6229,6489,6697,6814,6920,7092,7290,7434,7683,7858,7945,8114,8252,8472,8647,8888,9119,9312,9428,9641,9786,10084,10339,10600,10761,10926,11172,11368,11579,11749,11903,12066,12190,12293,12521,12700,12950,13162,13308,13425,13619,13803,13972,14310,14592,14706,14848,15032,15193,15432,15603,15790,15924,16021,16050,16294,16506,16688,16847,16903,16961,17070,17169,17279,17389,17514,17586,17611,17664,17755,17832,17917,18024,18099,18149,18247,18349,18475,18608,18739,18820,18878,18955,19087,19250,19389,19511,19578,19634,19694,19802,19904,20011,20129,20195,20235,20322,20422,20533,20639,20739,20834,20900,21002,21093,21259,21405,21494,21630,21714,21803,21881,22006,22188,22302,22453,22527,22601,22658,22755,22848,23021,23101,23181,27877,28103,28325,28571,28679,28851,28965,29455,29639,29883,30056,30276,30437,30529,30878,31110,31421,31803,32528,32709,32858,33152,33450,33806,34132,34402,34554,34769,35206,35694,36106,36547,37021,37187,37601,38089,38501,39218,39696,40181,40566,40828,41461,41973,42587,43263,43717,44168,44468,45198,45872,46644,47097,47432,47750,48068,48780,49483,50651,51556,52093,52563,52886,53680,54061,54851,55875,56877,57458,58003,58796,59449,60005,60795,61409,61876,62252,62856,63425,64035,64633,65473,65857,66187,66965,67507,68085,68631,69143,69419,69642,70074,70412,70916,71325,71740,72088,72350,72599,72836,73157,73554,73856,74038,74245,74416,74632,74917
GA-04,-84.15732,33.73139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,8,12,11,16,21,25,41,47,59,83,106,132,151,212,272,307,317,402,442,486,551,613,674,721,795,859,894,953,1003,1043,1171,1350,1402,1470,1586,1636,1708,1800,1813,1899,1993,2037,2116,2128,2194,2240,2336,2408,2463,2547,2586,2673,2710,2812,2858,2913,2971,3032,3058,3111,3142,3176,3262,3310,3310,3370,3436,3505,3572,3623,3693,3826,3883,4024,4190,4257,4352,4368,4371,4441,4462,4547,4623,4678,4705,4709,4763,4836,4913,4965,5027,5056,5066,5120,5183,5282,5346,5462,5494,5539,5663,5948,6084,6211,6282,6395,6455,6476,6899,7046,7311,7575,7931,8170,8352,8491,8747,8909,9490,9699,9859,10290,10502,10746,10991,11209,11581,11774,11897,12103,12392,12714,13061,13356,13509,13657,13944,14191,14509,14782,15066,15241,15398,15603,15907,16172,16515,16818,17028,17217,17528,17775,17888,18129,18368,18513,18626,18875,19022,19248,19427,19591,19708,19769,19888,20023,20142,20246,20354,20431,20512,20640,20736,20885,20966,21080,21178,21192,21277,21367,21460,21537,21657,21726,21821,21930,22036,22119,22200,22331,22412,22462,22550,22682,22814,22938,23025,23080,23143,23233,23334,23427,23532,23603,23663,23708,23808,23947,24049,24164,24229,24342,24411,24480,24565,24702,24853,24966,25083,25126,25227,25329,25447,25671,25823,25927,26015,26079,26235,26361,26484,26674,26778,26879,28364,28685,28863,29074,29162,29382,29508,29817,29999,30240,30439,30705,30891,30953,31305,31568,31826,32106,32576,32798,32931,33142,33379,33621,33862,34066,34182,34318,34609,35003,35395,35967,36393,36655,36971,37414,37786,38306,38756,39235,39689,39954,40462,40873,41355,41860,42313,42759,42918,43563,44015,44760,45208,45476,45712,46089,46713,47284,48020,48811,49347,49634,49857,50556,50984,51607,52467,53343,53926,54525,55215,55869,56552,57233,58005,58604,59022,59468,59983,60442,60989,61743,62127,62429,63163,63592,64117,64563,65054,65345,65611,65950,66296,66689,67043,67401,67674,67887,68246,68532,68837,69156,69414,69604,69761,69902,70181,70444
GA-05,-84.46319,33.79217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,5,5,7,6,8,13,20,27,33,49,66,88,99,111,145,184,198,211,307,373,407,463,570,624,712,882,941,962,1027,1124,1240,1276,1364,1422,1467,1598,1812,1844,1929,2025,2054,2110,2198,2208,2255,2436,2500,2543,2545,2680,2727,2770,2811,2882,2928,2979,3065,3164,3251,3258,3317,3385,3508,3516,3595,3614,3625,3703,3749,3761,3751,3795,3793,3872,3931,3977,4054,4080,4230,4309,4367,4490,4507,4524,4621,4638,4688,4724,4790,4822,4823,4887,4925,4989,5031,5069,5100,5106,5157,5148,5292,5325,5400,5444,5496,5705,5885,6052,6163,6350,6506,6610,6648,6965,7277,7527,7913,8433,8652,8883,9066,9358,9586,10021,10354,10595,11080,11354,11746,12184,12584,12872,13117,13379,13779,14169,14673,15221,15649,15843,16073,16482,16867,17286,17646,17858,18079,18224,18566,18996,19230,19647,20049,20276,20468,20874,21140,21373,21601,21867,21993,22107,22484,22760,23068,23375,23622,23751,23825,23987,24211,24378,24586,24747,24801,24891,25063,25150,25339,25439,25540,25631,25681,25756,25861,25934,26022,26108,26225,26289,26360,26517,26620,26778,26910,26992,27080,27122,27247,27305,27389,27480,27529,27605,27650,27684,27790,27855,27994,28096,28198,28258,28392,28581,28834,28942,29072,29170,29274,29329,29429,29562,29678,29819,29885,29996,30141,30264,30540,30691,30838,30926,31038,31220,31315,31428,31655,31753,31843,33878,34112,34329,34525,34644,34833,34946,35322,35500,35756,35994,36266,36425,36496,37154,37381,37638,37930,38578,38774,38981,39385,39692,39942,40185,40486,40630,40794,41231,41629,42130,42719,43169,43415,43802,44493,44901,45471,45902,46499,46896,47182,47904,48414,49072,49716,50078,50599,50890,51860,52321,53253,53911,54285,54514,54826,55555,55939,56781,57724,58438,58829,59255,59999,60247,61428,62696,63484,64300,64974,65719,66258,67047,67834,68716,69381,70010,70642,71285,71867,72509,73264,73780,74265,74969,75399,75935,76471,77020,77344,77629,77977,78400,78916,79178,79522,79900,80151,80457,80693,81015,81334,81670,81871,82063,82276,82534,82781
GA-07,-84.03892,34.00621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,6,8,9,15,26,27,31,41,53,57,90,121,150,168,191,285,298,333,389,427,480,523,619,664,707,759,796,820,877,968,1005,1058,1201,1238,1299,1392,1435,1500,1586,1623,1709,1756,1816,1887,2010,2085,2154,2265,2308,2397,2449,2578,2614,2687,2769,2835,2866,2896,2903,2947,2994,2995,2993,3085,3183,3254,3325,3405,3443,3505,3678,3799,3982,4126,4245,4281,4292,4393,4423,4597,4802,4913,4979,4986,5154,5267,5387,5559,5678,5735,5767,5906,6054,6274,6380,6596,6685,6801,7067,7330,7757,7960,8219,8382,8473,8547,8910,9213,9490,9988,10416,10589,10746,10978,11279,11472,11837,12197,12452,12884,13105,13474,13769,14209,14589,14816,14997,15292,15553,15941,16357,16731,16932,17175,17606,17985,18507,18988,19409,19707,19869,20185,20585,20938,21330,21772,22078,22264,22739,23101,23355,23682,23965,24103,24241,24561,24877,25165,25540,25788,25904,25992,26295,26574,26787,26987,27194,27261,27343,27631,27808,28003,28151,28343,28460,28485,28599,28798,28958,29093,29241,29334,29408,29587,29744,29909,30068,30255,30349,30429,30516,30763,30919,31113,31275,31365,31446,31571,31761,31893,32026,32186,32285,32355,32459,32614,32773,32927,33068,33171,33239,33415,33597,33761,33920,34085,34239,34308,34441,34503,34566,34756,34878,34993,35083,35224,35368,35538,35717,35990,36124,36268,38794,39110,39288,39589,39737,39921,40043,40545,40787,41064,41337,41657,41875,41973,42511,42829,43156,43474,44158,44381,44621,44998,45285,45678,45999,46347,46571,46836,47363,48053,48636,49416,49913,50149,50680,51504,52147,53005,53617,54319,54948,55391,56324,56953,57770,58524,59164,59785,60120,61192,62044,63112,63656,64106,64485,65079,66118,67052,68275,69571,70312,70933,71453,72753,73412,74785,76453,77821,78779,79898,81245,82289,83371,84574,85648,86492,87210,88264,89682,91157,92580,94066,94779,95275,96493,97214,98118,98766,99622,99974,100365,100982,101645,102420,102969,103486,103885,104140,104626,105127,105664,106081,106502,106788,107005,107419,107880,108244
GA-08,-83.50365,31.69284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,9,14,15,16,17,29,41,49,66,81,90,101,155,180,210,254,301,314,349,428,480,542,600,614,666,706,772,799,880,941,971,1013,1083,1119,1197,1261,1290,1315,1324,1375,1435,1481,1524,1568,1590,1601,1655,1693,1757,1796,1839,1860,1874,1888,1952,1980,2038,2067,2122,2130,2169,2207,2272,2350,2400,2429,2476,2571,2661,2758,2831,2880,2900,2906,2998,3025,3078,3187,3281,3399,3421,3472,3532,3616,3710,3806,3977,4031,4144,4241,4388,4509,4626,4708,4795,4912,5033,5184,5326,5551,5718,5821,5923,6157,6341,6505,6740,6895,7077,7233,7710,7879,8042,8438,8589,8681,8846,8961,9221,9534,9726,9935,10079,10193,10288,10535,10899,11178,11364,11511,11618,11804,12001,12271,12593,12805,12958,13039,13196,13408,13598,13792,14042,14257,14371,14579,14803,14866,15027,15271,15414,15506,15650,15779,15935,16085,16259,16365,16613,16738,16854,17020,17120,17268,17305,17396,17509,17638,17793,17957,18091,18183,18216,18255,18368,18468,18549,18666,18757,18825,18901,19029,19129,19248,19386,19456,19493,19527,19607,19699,19756,19847,19908,19956,20017,20097,20169,20264,20338,20384,20427,20496,20638,20700,20827,20892,20978,21059,21139,21269,21395,21563,21674,21732,21780,21860,21967,22085,22212,22383,22447,22494,22538,22615,22722,22795,22934,22984,23007,26116,26251,26404,26526,26608,26744,26788,26953,27100,27227,27433,27608,27673,27716,27973,28178,28357,28554,28760,28823,28899,29131,29363,29610,29721,29867,29984,30072,30371,30748,31177,31492,31842,31914,32213,32514,32914,33377,33736,34177,34359,34561,35125,35621,36143,36728,37177,37436,37651,38130,38743,39533,39805,40079,40323,40625,41449,42273,42972,43746,44256,44602,44963,45714,46505,46971,47672,48402,48836,49179,49885,50489,51076,51665,52180,52447,52663,53058,53588,54079,54565,54971,55200,55371,55778,56142,56551,57028,57368,57549,57638,57965,58231,58507,58724,58912,59025,59088,59366,59517,59721,59841,60032,60089,60143,60397,60629,60857
GA-09,-83.71998,34.41439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,12,13,16,24,33,38,45,56,58,68,129,136,144,160,168,211,234,325,371,387,412,445,454,473,600,620,688,898,957,995,1141,1174,1417,1535,1639,1665,1698,1819,1956,2065,2213,2453,2748,2761,2864,2960,3067,3144,3196,3217,3239,3271,3312,3386,3411,3445,3457,3484,3553,3623,3705,3767,3815,3880,3912,3932,4016,4121,4183,4235,4238,4247,4390,4399,4453,4530,4596,4638,4645,4697,4748,4796,4847,4914,4950,4967,4994,5057,5127,5218,5290,5333,5356,5384,5473,5590,5636,5703,5764,5824,5870,5994,6155,6252,6368,6494,6536,6581,6718,6911,7031,7264,7411,7542,7715,7859,8145,8384,8621,8897,9024,9094,9339,9607,9860,10114,10289,10373,10530,10790,11118,11419,11703,11936,12104,12208,12458,12743,12952,13268,13544,13661,13758,14086,14352,14530,14726,14999,15101,15163,15476,15733,15964,16209,16433,16504,16552,16833,17151,17438,17720,18004,18081,18318,18581,18799,19041,19251,19488,19573,19632,19745,19875,20072,20249,20396,20461,20529,20761,21023,21224,21423,21730,21814,21944,22043,22309,22539,22855,23028,23079,23089,23244,23495,23781,23984,24139,24181,24253,24385,24548,24665,24876,25066,25143,25191,25321,25491,25655,25838,26019,26082,26141,26321,26420,26563,26706,26864,26956,27000,27136,27247,27412,27540,27733,27784,27835,30209,30404,30612,30827,30992,30973,29720,30039,30172,30421,30662,30914,31054,31119,31517,31787,32098,32371,32755,32912,33041,33359,33654,33989,34201,34446,34587,34798,35263,35711,36196,36791,37268,37404,37832,38291,38887,39694,40317,40860,41228,41512,42288,42911,43625,44511,45180,45575,45942,46728,47463,48477,48827,49152,49500,49650,50488,51201,52121,53027,53514,53940,54331,55112,55721,56386,57339,58190,58724,59258,60073,60767,61508,62253,62818,63163,63472,64116,64754,65516,66132,66756,67043,67240,67853,68231,68662,69108,69505,69699,69854,70293,70763,71118,71412,71656,71831,71940,72176,72342,72617,72866,73073,73182,73295,73476,73644,73829
GA-10,-83.36395,33.65864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,9,13,14,15,25,32,40,48,63,72,76,85,128,147,159,174,185,207,236,309,342,356,397,423,450,476,552,585,639,702,716,744,829,843,947,983,1034,1059,1052,1117,1164,1211,1264,1318,1357,1368,1410,1473,1559,1588,1610,1628,1649,1670,1735,1770,1800,1820,1838,1849,1891,1922,1950,2008,2074,2083,2110,2148,2221,2277,2314,2367,2381,2385,2418,2426,2455,2517,2574,2583,2595,2623,2664,2699,2737,2738,2760,2767,2801,2828,2860,2883,2922,2937,2958,3003,3064,3131,3199,3265,3319,3342,3394,3556,3696,3799,3978,4098,4170,4250,4424,4537,4643,4840,4984,5077,5227,5365,5558,5728,5891,6092,6209,6321,6466,6621,6857,7064,7268,7384,7525,7791,7983,8207,8452,8674,8820,8931,9087,9327,9516,9782,10014,10141,10239,10447,10686,10823,11024,11198,11312,11442,11635,11791,11979,12175,12361,12484,12629,12906,13090,13300,13490,13653,13751,13927,14243,14416,14727,14940,15340,15458,15536,15849,16069,16246,16432,16653,16773,16861,17058,17205,17325,17524,17650,17718,17782,17841,17932,18033,18134,18249,18295,18348,18450,18529,18613,18709,18825,18871,18918,19011,19153,19251,19374,19490,19551,19592,19676,19780,19875,19988,20074,20143,20192,20289,20400,20555,20744,20864,20933,20983,21057,21163,21270,21335,21473,21542,21604,24490,24600,24763,24980,25068,25182,25251,25476,25631,25811,26001,26177,26237,26295,26509,26678,26879,27094,27404,27472,27582,27764,27977,28190,28348,28491,28604,28743,29032,29360,29675,30002,30355,30431,30740,31000,31350,31752,32126,32484,32770,32968,33450,33880,34357,34856,35171,35503,35751,36213,36692,37374,37717,37989,38210,38415,39247,39833,40538,41236,41740,42163,42420,43186,43746,44361,45167,45894,46432,46920,47563,48229,48760,49427,49956,50388,50676,51209,51645,52169,52596,53243,53536,53783,54326,54683,55125,55578,55959,56209,56375,56752,57068,57424,57680,57928,58169,58303,58558,58740,58976,59195,59435,59534,59690,59858,60044,60230
GA-11,-84.58163,34.05132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,8,12,13,27,34,38,42,56,79,117,123,141,160,188,210,239,288,349,397,427,486,520,568,639,702,738,827,881,931,984,1039,1087,1112,1196,1344,1384,1469,1580,1622,1666,1768,1793,1871,1955,2008,2049,2088,2165,2245,2335,2394,2474,2555,2583,2690,2753,2902,2953,3011,3082,3145,3171,3256,3312,3421,3475,3492,3505,3548,3658,3761,3818,3872,3912,3955,4069,4156,4226,4286,4349,4377,4414,4443,4452,4516,4603,4681,4721,4730,4796,4842,4890,5003,5075,5116,5153,5206,5293,5340,5388,5469,5521,5588,5687,5885,6058,6163,6267,6404,6531,6590,6880,7143,7396,7652,7878,7992,8136,8440,8692,8849,9261,9600,9762,10044,10229,10497,10729,11096,11440,11618,11777,12133,12447,12944,13364,13746,13927,14088,14442,14716,15102,15494,15810,16150,16347,16786,17309,17645,18134,18587,18894,19149,19529,19939,20227,20550,20798,20931,21030,21234,21487,21794,22138,22360,22540,22723,22895,23259,23550,23726,24038,24139,24253,24442,24651,24937,25094,25281,25491,25563,25645,25875,26114,26295,26572,26685,26780,26887,27092,27276,27432,27528,27612,27686,27806,27986,28125,28277,28412,28482,28522,28624,28796,28948,29040,29186,29256,29343,29450,29616,29736,29867,29992,30165,30260,30375,30628,30806,31005,31158,31254,31319,31445,31630,31818,32024,32212,32358,32451,32563,32775,32945,33063,33374,33453,33533,36788,37173,37418,37768,37974,38166,38312,38925,39176,39457,39743,40133,40380,40506,41064,41486,41876,42263,43231,43557,43744,44138,44530,44873,45199,45539,45722,45966,46530,47190,47835,48558,49022,49250,49749,50380,51013,51807,52526,53307,53897,54350,55153,55972,56895,57848,58644,59328,59701,60715,61510,62741,63548,64049,64466,65056,66064,67246,68541,69959,70890,71660,72372,73546,74185,75582,77423,78949,79855,80750,81912,82842,83845,85071,86170,86956,87575,88499,89446,90362,91311,92254,92772,93373,94473,95250,96156,96986,97731,98154,98557,99128,99680,100399,100951,101415,101839,102105,102448,102752,103297,103860,104297,104512,104807,105138,105639,106093
GA-12,-82.19473,32.82041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,13,16,17,20,26,31,36,41,45,56,63,114,114,123,149,154,161,186,258,280,311,340,401,421,446,484,500,545,621,659,686,738,762,823,878,940,952,976,1009,1034,1071,1121,1146,1157,1167,1187,1203,1221,1251,1291,1309,1324,1334,1376,1395,1429,1447,1465,1466,1498,1522,1541,1592,1623,1643,1680,1701,1756,1805,1845,1886,1889,1901,1931,1937,1997,2013,2050,2088,2095,2136,2197,2239,2275,2304,2353,2382,2442,2499,2568,2653,2780,2825,2855,2939,3066,3227,3318,3426,3497,3665,3778,3978,4202,4370,4656,4875,5036,5130,5348,5516,5745,6225,6476,6616,7052,7314,7622,7848,8203,8509,8681,8950,9261,9447,9782,10073,10486,10801,11108,11616,11922,12311,12722,13139,13493,13731,13934,14219,14513,14896,15277,15628,15905,16269,16800,16984,17386,17799,18073,18400,18688,18972,19321,19610,19813,19972,20156,20361,20556,20851,21220,21419,21673,21974,22178,22404,22731,23033,23220,23403,23485,23762,23982,24217,24437,24709,24935,25100,25222,25409,25635,25854,26074,26215,26306,26396,26616,26754,26953,27111,27232,27293,27374,27459,27623,27781,27914,28016,28100,28198,28339,28491,28659,28809,28943,29045,29120,29222,29403,29588,29701,29825,29918,30040,30129,30287,30451,30596,30690,30808,30924,31035,31194,31304,31484,31606,31678,34509,34692,34878,35068,35162,35280,35335,35700,35913,36190,36430,36629,36772,36902,37133,37297,37605,37854,38136,38290,38427,38634,38862,39115,39317,39460,39563,39708,39946,40304,40750,41232,41609,41692,42212,42496,42791,43297,43762,44217,44559,44839,45284,45760,46325,46962,47475,47860,48034,48679,49289,50133,50511,50790,51054,51341,52081,52909,53891,54819,55302,55728,56281,57182,57850,58347,59343,60085,60945,61588,62207,62904,63789,64470,65016,65583,65950,66402,67019,67651,68343,68917,69313,69582,70071,70616,71245,71724,72208,72526,72860,73218,73612,74126,74535,74838,74996,75231,75551,75857,76240,76448,76810,76979,77136,77297,77610,77831
GA-13,-84.50809,33.60101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,6,6,11,17,17,25,32,39,50,73,92,96,100,154,177,208,266,304,324,346,377,415,424,452,478,515,558,624,653,670,711,731,749,783,790,808,889,905,918,919,933,967,1002,1032,1056,1112,1134,1147,1166,1212,1244,1286,1301,1330,1361,1368,1377,1412,1432,1440,1445,1448,1455,1486,1502,1549,1576,1609,1636,1690,1710,1732,1756,1755,1764,1780,1787,1816,1853,1893,1915,1920,1944,1974,2002,2033,2054,2078,2086,2100,2130,2177,2216,2258,2279,2322,2371,2465,2519,2602,2668,2728,2762,2767,2856,2973,3097,3222,3359,3445,3513,3618,3747,3839,4055,4147,4220,4381,4483,4605,4708,4868,5023,5144,5205,5347,5483,5651,5808,5975,6059,6141,6268,6406,6542,6658,6747,6835,6888,7026,7180,7283,7428,7554,7641,7737,7882,8018,8113,8218,8309,8396,8462,8551,8640,8790,8906,8995,9071,9135,9184,9375,9449,9489,9579,9612,9645,9708,9753,9812,9845,9885,9914,9931,9964,10014,10069,10105,10162,10200,10235,10287,10349,10420,10447,10442,10455,10490,10526,10571,10548,10581,10637,10628,10652,10661,10702,10735,10754,10815,10849,10882,10875,10992,11050,11126,11217,11304,11359,11433,11493,11582,11665,11732,11787,11807,11857,11931,11985,12076,12155,12203,12246,12284,12367,12433,12509,12614,12671,12700,13655,13773,13841,13941,14017,14082,14122,14291,14361,14457,14533,14631,14700,14736,14841,14977,15090,15209,15473,15557,15597,15710,15865,15951,16072,16145,16186,16237,16401,16558,16745,17002,17173,17290,17426,17697,17879,18188,18410,18612,18860,19018,19234,19480,19708,19919,20091,20310,20416,20663,20858,21170,21348,21506,21593,21713,21984,22210,22647,23048,23295,23514,23651,23960,24073,24409,24858,25397,25633,25879,26166,26468,26808,27155,27543,27805,28012,28290,28475,28780,29073,29402,29624,29778,30185,30429,30729,30998,31248,31446,31586,31768,31985,32277,32652,33138,33509,33938,34062,34221,34433,34620,34770,34862,34959,35068,35179,35328
